file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,"createIfAbsent/3[java.util.concurrent.ConcurrentMap<K,V>,K,org.apache.commons.lang3.concurrent.ConcurrentInitializer<V>]",FALSE,266,4,3,1,2,4,3,10,3,1,3,3,1,1,0,3,0,0,0,0,1,0,1,0,0,0,70,9,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableLongToDoubleFunction.java,org.apache.commons.lang3.function.FailableLongToDoubleFunction,applyAsDouble/1[long],FALSE,45,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableLongToDoubleFunction.java,org.apache.commons.lang3.function.FailableLongToDoubleFunction,nop/0,FALSE,41,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,or/1[org.apache.commons.lang3.function.FailableDoublePredicate<E>],FALSE,88,2,1,0,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,65536,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,truePredicate/0,FALSE,56,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,test/1[double],FALSE,93,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,falsePredicate/0,FALSE,46,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,negate/0,FALSE,77,2,1,0,1,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,65536,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\function\FailableDoublePredicate.java,org.apache.commons.lang3.function.FailableDoublePredicate,and/1[org.apache.commons.lang3.function.FailableDoublePredicate<E>],FALSE,67,2,1,0,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,65536,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\text\translate\UnicodeUnpairedSurrogateRemover.java,org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,"translate/2[int,java.io.Writer]",FALSE,36,0,0,0,0,3,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,TRUE
